Epoch: [0][460/2351]	 lr:0.01000	Time 0.418 (0.425)	Loss 0.0740 (0.1435)	Prec@1 87.500 (87.453)	
Epoch: [0][470/2351]	 lr:0.01000	Time 0.417 (0.425)	Loss 0.1009 (0.1419)	Prec@1 87.500 (87.540)	
Epoch: [0][480/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.1278 (0.1402)	Prec@1 84.375 (87.604)	
Epoch: [0][490/2351]	 lr:0.01000	Time 0.418 (0.424)	Loss 0.0169 (0.1382)	Prec@1 100.000 (87.723)	
Epoch: [0][500/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.0180 (0.1362)	Prec@1 100.000 (87.868)	
Epoch: [0][510/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.0549 (0.1346)	Prec@1 90.625 (87.934)	
Epoch: [0][520/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.0751 (0.1332)	Prec@1 81.250 (87.950)	
Epoch: [0][530/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.0411 (0.1319)	Prec@1 90.625 (88.018)	
Epoch: [0][540/2351]	 lr:0.01000	Time 0.417 (0.424)	Loss 0.0417 (0.1305)	Prec@1 90.625 (88.083)	
Epoch: [0][550/2351]	 lr:0.01000	Time 0.418 (0.424)	Loss 0.0566 (0.1290)	Prec@1 90.625 (88.164)	
Epoch: [0][560/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.1214 (0.1278)	Prec@1 84.375 (88.219)	
Epoch: [0][570/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.0595 (0.1265)	Prec@1 90.625 (88.326)	
Epoch: [0][580/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.0630 (0.1252)	Prec@1 84.375 (88.371)	
Epoch: [0][590/2351]	 lr:0.01000	Time 0.417 (0.423)	Loss 0.0468 (0.1242)	Prec@1 90.625 (88.399)	
Epoch: [0][600/2351]	 lr:0.01000	Time 0.417 (0.423)	Loss 0.0176 (0.1231)	Prec@1 100.000 (88.415)	
Epoch: [0][610/2351]	 lr:0.01000	Time 0.417 (0.423)	Loss 0.0034 (0.1224)	Prec@1 100.000 (88.482)	
Epoch: [0][620/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.0401 (0.1211)	Prec@1 96.875 (88.572)	
Epoch: [0][630/2351]	 lr:0.01000	Time 0.417 (0.423)	Loss 0.0281 (0.1201)	Prec@1 93.750 (88.619)	
Epoch: [0][640/2351]	 lr:0.01000	Time 0.417 (0.423)	Loss 0.0568 (0.1192)	Prec@1 93.750 (88.655)	
Epoch: [0][650/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.1119 (0.1183)	Prec@1 87.500 (88.695)	
Epoch: [0][660/2351]	 lr:0.01000	Time 0.418 (0.423)	Loss 0.0626 (0.1172)	Prec@1 84.375 (88.758)	
Epoch: [0][670/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0254 (0.1162)	Prec@1 100.000 (88.832)	
Epoch: [0][680/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0392 (0.1152)	Prec@1 93.750 (88.881)	
Epoch: [0][690/2351]	 lr:0.01000	Time 0.416 (0.422)	Loss 0.0274 (0.1143)	Prec@1 96.875 (88.943)	
Epoch: [0][700/2351]	 lr:0.01000	Time 0.417 (0.422)	Loss 0.0327 (0.1135)	Prec@1 93.750 (88.980)	
