Epoch: [0][460/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0298 (0.0432)	Prec@1 96.875 (86.693)	
Epoch: [0][470/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0318 (0.0432)	Prec@1 93.750 (86.737)	
Epoch: [0][480/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0295 (0.0429)	Prec@1 90.625 (86.831)	
Epoch: [0][490/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0323 (0.0427)	Prec@1 87.500 (86.895)	
Epoch: [0][500/2351]	 lr:0.01000	Time 0.099 (0.101)	Loss 0.0307 (0.0427)	Prec@1 90.625 (86.895)	
Epoch: [0][510/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0331 (0.0425)	Prec@1 87.500 (86.937)	
Epoch: [0][520/2351]	 lr:0.01000	Time 0.099 (0.101)	Loss 0.0181 (0.0424)	Prec@1 93.750 (86.966)	
Epoch: [0][530/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0240 (0.0422)	Prec@1 90.625 (87.006)	
Epoch: [0][540/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0959 (0.0422)	Prec@1 71.875 (87.044)	
Epoch: [0][550/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0195 (0.0419)	Prec@1 93.750 (87.154)	
Epoch: [0][560/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0716 (0.0419)	Prec@1 75.000 (87.132)	
Epoch: [0][570/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0328 (0.0418)	Prec@1 90.625 (87.183)	
Epoch: [0][580/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0590 (0.0418)	Prec@1 84.375 (87.204)	
Epoch: [0][590/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0391 (0.0417)	Prec@1 87.500 (87.230)	
Epoch: [0][600/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0641 (0.0416)	Prec@1 81.250 (87.297)	
Epoch: [0][610/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0422 (0.0413)	Prec@1 87.500 (87.377)	
Epoch: [0][620/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0516 (0.0414)	Prec@1 78.125 (87.389)	
Epoch: [0][630/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0308 (0.0412)	Prec@1 87.500 (87.431)	
Epoch: [0][640/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0549 (0.0410)	Prec@1 78.125 (87.480)	
Epoch: [0][650/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0369 (0.0409)	Prec@1 84.375 (87.538)	
Epoch: [0][660/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0328 (0.0408)	Prec@1 90.625 (87.604)	
Epoch: [0][670/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0359 (0.0406)	Prec@1 87.500 (87.607)	
Epoch: [0][680/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0306 (0.0406)	Prec@1 87.500 (87.638)	
Epoch: [0][690/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0203 (0.0405)	Prec@1 93.750 (87.654)	
Epoch: [0][700/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0498 (0.0404)	Prec@1 87.500 (87.687)	
Epoch: [0][710/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0130 (0.0401)	Prec@1 96.875 (87.777)	
Epoch: [0][720/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0308 (0.0399)	Prec@1 90.625 (87.855)	
Epoch: [0][730/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0673 (0.0399)	Prec@1 84.375 (87.846)	
Epoch: [0][740/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0172 (0.0398)	Prec@1 93.750 (87.892)	
Epoch: [0][750/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0340 (0.0397)	Prec@1 87.500 (87.924)	
Epoch: [0][760/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0101 (0.0395)	Prec@1 96.875 (88.001)	
